    230000      2461263.447   2314.30         0093.9       0096.5       0086.8    
20260811    170000      2461264.197   2314.33         0095.1       0097.7       0087.9    
20260811    200000      2461264.322   2314.33         0096.5       0099.1       0089.2    
20260811    230000      2461264.447   2314.34         0097.2       0099.8       0089.8    
20260812    170000      2461265.197   2314.37         0098.7       0101.3       0091.2    
20260812    200000      2461265.322   2314.37         0100.1       0102.7       0092.4    
20260812    230000      2461265.447   2314.38         0101.4       0104.1       0093.7    
20260813    170000      2461266.197   2314.40         0106.1       0108.9       0098.0    
20260813    200000      2461266.322   2314.41         0107.6       0110.4       0099.4    
20260813    230000      2461266.447   2314.41         0107.3       0110.1       0099.1    
20260814    170000      2461267.197   2314.446        0113.4       0116.4       0104.8    
20260814    200000      2461267.322   2314.451        0113.5       0116.4       0104.8    
20260814    230000      2461267.447   2314.45         0109.6       0112.5       0101.2    
20260815    170000      2461268.197   2314.48         0115.1       0118.0       0106.2    
20260815    200000      2461268.322   2314.48         0117.1       0120.1       0108.1    
20260815    230000      2461268.447   2314.49         0118.2       0121.2       0109.1    
20260816    170000      2461269.197   2314.520        0131.1       0134.4       0121.0    
20260816    200000      2461269.322   2314.52         0128.7       0131.9       0118.7    
20260816    230000      2461269.447   2314.52         0122.0       0125.1       0112.6    
20260817    170000      2461270.197   2314.55         0123.7       0126.7       0114.1    
20260817    200000      2461270.322   2314.55         0124.4       0127.4       0114.7    
20260817    230000      2461270.447   2314.56         0124.6       0127.7       0114.9    
20260818    170000      2461271.197   2314.59         0125.6       0128.7       0115.8    
20260818    200000      2461271.322   2314.59         0124.7       0127.8       0115.0    
20260818    230000      2461271.447   2314.60         0124.4       0127.4       0114.7    
20260819    170000      2461272.197   2314.62         0126.2       0129.3       0116.3    
20260819    200000      2461272.322   2314.63         0126.1       0129.2       0116.2    
20260819    230000      2461272.447   2314.63         0125.4       0128.4       0115.6    
20260820    170000      2461273.197   2314.66         0126.3       0129.3       0116.4    
20260820    200000      2461273.322   2314.66         0124.7       0127.7       0114.9    
20260820    230000      2461273.447   2314.67         0123.7       0126.6       0114.0    
20260821    170000      2461274.197   2314.70         0129.4       0132.4       0119.1    
20260821    200000      2461274.322   2314.70         0125.6       0128.5       0115.6    
20260821    230000      2461274.447   2314.71         0126.3       0129.2       0116.3    
20260822    170000      2461275.197   2314.73         0124.1       0126.9       0114.3    
20260822    200000      2461275.322   2314.74         0124.3       0127.1       0114.4    
20260822    230000      2461275.447   2314.74         0125.4       0128.3       0115.4    
20260823    170000      2461276.197   2314.77         0127.0       0129.8       0116.9    
20260823    200000      2461276.322   2314.77         0128.0       0130.8       0117.7    
20260823    230000      2461276.447   2314.78         0130.0       0132.9       0119.6    
20260824    170000      2461277.197   2314.81         0133.6       0136.5       0122.9    
20260824    200000      2461277.322   2314.81         0143.0       0146.2       0131.6    
20260824    230000      2461277.447   2314.82         0138.2       0141.2       0127.1    
20260825    170000      2461278.197   2314.850        0142.7       0145.7       0131.1    
20260825    200000      2461278.322   2314.85         0132.5       0135.3       0121.8    
20260825    230000      2461278.447   2314.85         0129.9       0132.7       0119.4    
20260826    170000      2461279.197   2314.88         0131.3       0134.1       0120.7    
20260826    200000      2461279.322   2314.88         0131.0       0133.8       0120.4    
20260826    230000      2461279.447   2314.89         0130.0       0132.7       0119.4    
20260827    170000      2461280.197   2314.92         0122.8       0125.3       0112.8    
20260827    200000      2461280.322   2314.92         0122.1       0124.6       0112.2    
20260827    230000      2461280.447   2314.93         0120.8       0123.3       0110.9    
20260828    170000      2461281.197   2314.95         0117.6       0120.0       0108.0    
20260828    200000      2461281.322   2314.96         0115.8       0118.2       0106.4    
20260828    230000      2461281.447   2314.96         0116.0       0118.4       0106.5    
20260829    170000      2461282.197   2314.99         0111.9       0114.1       0102.7    
20260829    200000      2461282.322   2314.99         0111.4       0113.6       0102.3    
20260829    230000      2461282.447   2315.00         0109.7       0111.9       0100.7    
20260830    170000      2461283.197   2315.03         0109.4       0111.5       0100.4    
20260830    200000      2461283.322   2315.03         0106.6       0108.7       0097.8    
20260830    230000      2461283.447   2315.04         0107.5       0109.5       0098.6    
20260831    170000      2461284.197   2315.06         0107.1       0109.1       0098.2    
20260831    200000      2461284.322   2315.07         0107.0       0109.0       0098.1    
20260831    230000      2461284.447   2315.07         0106.1       0108.1       0097.3    
20260901    170000      2461285.197   2315.10         0101.0       0102.9       0092.6    
20260901    200000      2461285.322   2315.10         0100.5       0102.3       0092.1    
20260901    230000      2461285.447   2315.11         0101.6       0103.5       0093.1    
20260902    170000      2461286.197   2315.14         0100.4       0102.2       0092.0    
20260902    200000      2461286.322   2315.14         0139.0       0141.5       0127.3    
20260902    230000      2461286.447   2315.15         0103.1       0104.9       0094.4    
20260903    170000      2461287.197   2315.17         0102.8       0104.6       0094.1    
20260903    200000      2461287.322   2315.18         0108.2       0110.1       0099.0    
20260903    230000      2461287.447   2315.18         0108.3       0110.1       0099.1    
20260904    170000      2461288.197   2315.21         0109.0       0110.8       0099.7    
20260904    200000      2461288.322   2315.21         0109.6       0111.4       0100.3    
20260904    230000      2461288.447   2315.22         0108.5       0110.3       0099.3    
20260905    170000      2461289.197   2315.25         0110.7       0112.5       0101.2    
20260905    200000      2461289.322   2315.25         0110.7       0112.5       0101.2    
20260905    230000      2461289.447   2315.26         0111.3       0113.1       0101.8    
20260906    170000      2461290.197   2315.28         0109.8       0111.5       0100.4    
20260906    200000      2461290.322   2315.29         0109.5       0111.2       0100.1    
20260906    230000      2461290.447   2315.29         0110.0       0111.7       0100.5    
20260907    170000      2461291.197   2315.32         0108.8       0110.5       0099.4    
20260907    200000      2461291.322   2315.32         0109.7       0111.4       0100.2    
20260907    230000      2461291.447   2315.33         0109.8       0111.5       0100.4    
20260908    170000      2461292.197   2315.36         0109.1       0110.8       0099.7    
20260908    200000      2461292.322   2315.36         0110.4       0112.0       0100.8    
20260908    230000      2461292.447   2315.36         0111.5       0113.2       0101.9    
