time (yyyy MM dd),absolute_f107 (solar flux unit (SFU)),absolute_f107_c (solar flux unit (SFU)),absolute_f107_p (solar flux unit (SFU)),absolute_f107_f,adjusted_f107 (solar flux unit (SFU)),adjusted_f107_c (solar flux unit (SFU)),adjusted_f107_p (solar flux unit (SFU)),adjusted_f107_f
2026 8 25,132.4,132.4,5.0,0,135.3,135.3,5.1,0
2026 8 26,131.0,131.0,5.0,0,133.8,133.8,5.1,0
2026 8 27,122.0,122.0,5.0,0,124.6,124.6,5.1,0
2026 8 28,115.8,115.8,5.0,0,118.2,118.2,5.1,0
2026 8 29,111.4,111.4,5.0,0,113.6,113.6,5.1,0
2026 8 30,106.6,106.6,5.0,0,108.7,108.7,5.1,0
2026 8 31,107.0,107.0,5.0,0,109.0,109.0,5.0,0
2026 9 1,100.4,100.4,4.9,0,102.3,102.3,5.0,0
2026 9 2,139.0,99.3,5.0,4,141.5,101.1,5.0,4
2026 9 3,108.2,108.2,4.9,0,110.1,110.1,5.0,0
2026 9 4,109.5,109.5,4.9,0,111.4,111.4,5.0,0
2026 9 5,110.7,110.7,4.9,0,112.5,112.5,5.0,0
2026 9 6,109.5,109.5,4.9,0,111.2,111.2,5.0,0
2026 9 7,109.7,109.7,4.9,0,111.4,111.4,5.0,0
2026 9 8,110.4,110.4,4.9,0,112.0,112.0,5.0,0
