time (Julian Date),tsi_1au (W/m^2),instrument_accuracy_1au (W/m^2),instrument_precision_1au (W/m^2),solar_standard_deviation_1au (W/m^2),measurement_uncertainty_1au (W/m^2),tsi_true_earth (W/m^2),instrument_accuracy_true_earth (W/m^2),instrument_precision_true_earth (W/m^2),solar_standard_deviation_true_earth (W/m^2),measurement_uncertainty_true_earth (W/m^2),avg_measurement_date (Julian Date),std_dev_measurement_date (days),provisional_flag
2461277.625,1362.3862,0.3315,0.0068,0.03969,0.3338,1333.3382,0.3244,0.0068,0.0544,0.3289,2461277.63916,0.0705,0
2461277.875,1362.3834,0.3315,0.0068,0.05318,0.3357,1333.4747,0.3244,0.0068,0.06494,0.3309,2461277.880796,0.0704,0
2461278.125,1362.4217,0.3315,0.0068,0.04027,0.3339,1333.6493,0.3245,0.0068,0.06218,0.3304,2461278.118201,0.0704,0
2461278.375,1362.4411,0.3315,0.0068,0.0586,0.3366,1333.8053,0.3245,0.0068,0.06824,0.3316,2461278.3547,0.0681,0
2461278.625,1362.4883,0.3315,0.0068,0.04833,0.335,1334.0018,0.3246,0.0068,0.07764,0.3337,2461278.613589,0.0729,0
2461278.875,1362.4437,0.3315,0.0068,0.05352,0.3358,1334.1081,0.3246,0.0068,0.06099,0.3303,2461278.871367,0.0726,0
2461279.125,1362.4067,0.3315,0.0068,0.06644,0.3381,1334.2158,0.3246,0.0068,0.07329,0.3328,2461279.118073,0.0767,0
2461279.375,1362.3958,0.3316,0.0068,0.04489,0.3346,1334.3593,0.3248,0.0068,0.06231,0.3307,2461279.381986,0.0711,0
2461279.625,1362.4415,0.3316,0.0068,0.04528,0.3347,1334.5046,0.3248,0.0068,0.05324,0.3292,2461279.553528,0.0212,0
2461279.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2461279.875,0.0,0
2461280.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2461280.125,0.0,0
2461280.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2461280.375,0.0,0
2461280.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2461280.625,0.0,0
2461280.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2461280.875,0.0,0
2461281.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2461281.125,0.0,0
2461281.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2461281.375,0.0,0
2461281.625,1362.5901,0.3318,0.0068,0.02922,0.3331,1335.9049,0.3253,0.0068,0.05134,0.3293,2461281.675122,0.052,0
2461281.875,1362.5641,0.3318,0.0068,0.05317,0.336,1335.9987,0.3253,0.0068,0.08511,0.3363,2461281.874951,0.0694,0
2461282.125,1362.6154,0.3318,0.0068,0.04583,0.3349,1336.1889,0.3254,0.0068,0.0482,0.3289,2461282.108777,0.0701,0
2461282.375,1362.6105,0.3318,0.0068,0.04527,0.3349,1336.3332,0.3254,0.0068,0.04212,0.3281,2461282.357799,0.0729,0
2461282.625,1362.5749,0.3319,0.0068,0.04857,0.3355,1336.4525,0.3256,0.0068,0.04564,0.3287,2461282.614887,0.0736,0
2461282.875,1362.4991,0.3319,0.0068,0.05013,0.3357,1336.5356,0.3256,0.0068,0.05747,0.3306,2461282.876651,0.0719,0
2461283.125,1362.5309,0.3319,0.0068,0.03914,0.3342,1336.7206,0.3256,0.0068,0.05733,0.3306,2461283.131974,0.0731,0
2461283.375,1362.5507,0.3319,0.0068,0.04024,0.3343,1336.8951,0.3257,0.0068,0.05153,0.3297,2461283.38882,0.0731,0
2461283.625,1362.4935,0.3319,0.0068,0.01759,0.3324,1336.9471,0.3257,0.0068,0.01672,0.3261,2461283.567634,0.0344,0
2461283.875,1362.4999,0.3319,0.0068,0.06947,0.3391,1337.1669,0.3257,0.0068,0.06841,0.3328,2461283.919986,0.0729,0
2461284.125,1362.4634,0.3319,0.0068,0.03984,0.3343,1337.2393,0.3258,0.0068,0.06408,0.332,2461284.098216,0.0693,0
2461284.375,1362.3859,0.332,0.0068,0.04726,0.3354,1337.3389,0.3259,0.0068,0.04537,0.3291,2461284.386927,0.0506,0
2461284.625,1362.3772,0.332,0.0068,0.04953,0.3357,1337.4694,0.3259,0.0068,0.08405,0.3366,2461284.615085,0.0806,0
2461284.875,1362.4421,0.332,0.0068,0.04816,0.3355,1337.6941,0.326,0.0068,0.07764,0.3351,2461284.878519,0.0655,0
2461285.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2461285.125,0.0,0
2461285.375,1362.4737,0.3322,0.0068,0.02937,0.3335,1338.061,0.3262,0.0068,0.04253,0.329,2461285.426475,0.0534,0
2461285.625,1362.4812,0.3322,0.0068,0.03747,0.3343,1338.2019,0.3263,0.0068,0.06513,0.3327,2461285.643437,0.0694,0
2461285.875,1362.4799,0.3322,0.0068,0.04595,0.3353,1338.3285,0.3263,0.0068,0.06919,0.3335,2461285.850973,0.0673,0
2461286.125,1362.4616,0.3322,0.0068,0.05511,0.3367,1338.4727,0.3263,0.0068,0.06066,0.3319,2461286.113615,0.0695,0
2461286.375,1362.4884,0.3322,0.0068,0.04829,0.3357,1338.6532,0.3264,0.0068,0.07875,0.3357,2461286.36244,0.0726,0
2461286.625,1362.4606,0.3322,0.0068,0.04074,0.3347,1338.7681,0.3264,0.0068,0.05553,0.3311,2461286.59148,0.0532,0
2461286.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2461286.875,0.0,0
2461287.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2461287.125,0.0,0
2461287.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2461287.375,0.0,0
2461287.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2461287.625,0.0,0
2461287.875,1362.2508,0.3323,0.0068,0.02568,0.3332,1339.4107,0.3267,0.0068,0.02637,0.3277,2461287.94792,0.0041,0
2461288.125,1362.259,0.3323,0.0068,0.04749,0.3356,1339.5208,0.3267,0.0068,0.04434,0.3297,2461288.109379,0.0727,0
2461288.375,1362.2309,0.3322,0.0068,0.03692,0.3343,1339.6552,0.3267,0.0068,0.04504,0.3298,2461288.365756,0.0734,0
